"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"16917",3067,364,2319,3067,5386,"intrinsic neuron","4B in T3 LHS","None",NA,15525,"IN04B031_T3_L",NA,0.731026411056519,0.0889300778508186,0.17178800702095,0.00825552083551884,"LegNpT3_L","21266,23561,11640","user",0.731026411056519,"IR","",NA,"Roughly traced","IR",NA,"IN04B031","LegNpT3_L",NA,"IN04B031","VFB_jrcv0d1x","21328,23494,11640","secondary","04B",15525,"independent leg","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19757,23045,4970","Traced",364,"acetylcholine",3768,"acetylcholine",926657491,TRUE
"17101",1880,377,2480,1880,4360,"intrinsic neuron",NA,NA,NA,17101,"IN04B062_T3_L",NA,0.674005329608917,0.0452672839164734,0.273655146360397,0.00707222614437342,"LegNpT3_L","20321,20001,2926","soma",0.674005329608917,"IR","",NA,"Roughly traced","IR",NA,"IN04B062","LegNpT3_L",NA,"IN04B062","VFB_jrcv0d71","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20321,20001,2926","Traced",377,"acetylcholine",1943,"acetylcholine",907766554,TRUE
"171352",1797,447,3159,1797,4956,"intrinsic neuron",NA,NA,NA,19254,"IN04B044_T3_L",NA,0.85995477437973,0.041926059871912,0.0950138494372368,0.00310533167794347,"LegNpT3_L","19618,22685,4342","soma",0.85995477437973,"IR","",NA,"Roughly traced","IR",NA,"IN04B044","LegNpT3_L",NA,"IN04B044","VFB_jrcv3o7s","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19618,22685,4342","Traced",447,"acetylcholine",2807,"acetylcholine",728540834,TRUE
"17601",2106,348,2108,2106,4214,"intrinsic neuron","20A in T3 LHS","None",NA,16619,"IN04B074_T3_L",NA,0.5897017121315,0.216574192047119,0.183622092008591,0.0101020010188222,"LegNpT3_L","22606,17849,13301","user",0.5897017121315,"IR","",NA,"Roughly traced","IR",NA,"IN04B074","LegNpT3_L",NA,"IN04B074","VFB_jrcv0dkx","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20141,21108,5069","Traced",348,"acetylcholine",5902,"acetylcholine",764525082,TRUE
"17673",1483,413,3150,1483,4633,"intrinsic neuron","4B in T3 LHS","None",NA,16847,"IN04B054_T3_L",NA,0.917433500289917,0.0279701855033636,0.050499252974987,0.00409704679623246,"LegNpT3_L","21338,23396,11640","user",0.917433500289917,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_L",NA,"IN04B054","VFB_jrcv0dmx","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19274,22174,4329","Traced",413,"acetylcholine",3601,"acetylcholine",754138310,TRUE
"17755",1896,299,1935,1896,3831,"intrinsic neuron",NA,NA,NA,14353,"IN04B044_T3_L",NA,0.795429229736328,0.0806354060769081,0.113375186920166,0.0105601521208882,"LegNpT3_L","19927,22787,6078","soma",0.790157675743103,"IR","",NA,"Roughly traced","IR",NA,"IN04B044","LegNpT3_L",NA,"IN04B044","VFB_jrcv0dp7","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19927,22787,6078","Traced",299,"acetylcholine",2807,"acetylcholine",711084375,TRUE
"17767",1565,497,3710,1565,5275,"intrinsic neuron","4B? in T3 LHS","None",NA,14612,"IN04B029_T3_L",NA,0.903228759765625,0.0419840067625046,0.0518089197576046,0.00297831557691097,"LegNpT3_L","21280,23512,11640","user",0.903228759765625,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_L",NA,"IN04B029","VFB_jrcv0dpj","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19681,23584,8218","Traced",497,"acetylcholine",3225,"acetylcholine",895755344,TRUE
"17802",2605,300,1771,2605,4376,"intrinsic neuron",NA,NA,NA,17802,"IN04B037_T3_L",NA,0.526930034160614,0.224623203277588,0.23770335316658,0.0107434242963791,"LegNpT3_L","20152,21603,5390","soma",0.526930034160614,"IR","",NA,"Roughly traced","IR",NA,"IN04B037","LegNpT3_L",NA,"IN04B037","VFB_jrcv0dqi","","early secondary","04B",16800,"independent leg","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20152,21603,5390","Traced",300,"acetylcholine",2295,"acetylcholine",736194120,TRUE
"17921",1797,421,3264,1797,5061,"intrinsic neuron","4B in T3 LHS","None",NA,16847,"IN04B054_T3_L",NA,0.901797831058502,0.0524543635547161,0.0398726463317871,0.00587515207007527,"LegNpT3_L.LegNpT3_R","21395,23278,11640","user",0.901797831058502,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_L",NA,"IN04B054","VFB_jrcv0dtt","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",16253,NA,NA,NA,NA,NA,"",NA,"19965,22755,5370","Traced",421,"acetylcholine",3601,"acetylcholine",712898470,TRUE
"17924",1206,258,1641,1206,2847,"ascending neuron","pred ChAT","None","CvC",17924,"AN04B023_T3_L","none",0.93677681684494,0.0161333903670311,0.0403336547315121,0.00675614271312952,"LegNpT3_L","21601,35720,67070","user",0.937742292881012,"IA","","LHS","Roughly traced","IA",NA,"AN04B023","LegNpT3_L.LegNpT2_L",NA,"AN04B023","VFB_jrcv0dtw","","early secondary","04B",14013,"ascending","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"17587,11060,13163","Traced",258,"acetylcholine",1629,"acetylcholine",953508889,TRUE
