"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"14988",2102,405,2626,2102,4728,"intrinsic neuron","4B? in T3 RHS","None",NA,14353,"IN04B044_T3_R",NA,0.919258654117584,0.00979531370103359,0.0689788460731506,0.00196718145161867,"LegNpT3_R","21987,23403,11060","user",0.919258654117584,"IR","",NA,"Roughly traced","IR",NA,"IN04B044","LegNpT3_R",NA,"IN04B044","VFB_jrcv0bkc","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23057,22317,4374","Traced",405,"acetylcholine",2807,"acetylcholine",785021630,TRUE
"15004",1142,381,2688,1142,3830,"intrinsic neuron",NA,NA,NA,15103,"IN04B068_T3_R",NA,0.938302934169769,0.0122299315407872,0.0451038964092731,0.0043632579036057,"LegNpT3_R","22782,24954,6126","soma",0.938302934169769,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_R",NA,"IN04B068","VFB_jrcv0bks","","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22782,24954,6126","Traced",381,"acetylcholine",5321,"acetylcholine",627639675,TRUE
"15018",1247,384,2365,1247,3612,"intrinsic neuron","4B in T3 RHS","None",NA,14320,"IN04B043_T3_R",NA,0.842404007911682,0.0551339015364647,0.0993877500295639,0.00307433027774096,"LegNpT3_R","22027,23144,11060","user",0.842404007911682,"IR","",NA,"Roughly traced","IR",NA,"IN04B043","LegNpT3_R",NA,"IN04B043","VFB_jrcv0bl6","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23149,22757,4732","Traced",384,"acetylcholine",1628,"acetylcholine",780463552,TRUE
"15103",1273,474,3307,1273,4580,"intrinsic neuron","4B in T3 RHS","None",NA,15103,"IN04B068_T3_R",NA,0.887600302696228,0.0212397687137127,0.0843491926789284,0.00681071728467941,"LegNpT3_R","22043,24015,11060","user",0.887600302696228,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_R",NA,"IN04B068","VFB_jrcv0bnj","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23198,23892,5378","Traced",474,"acetylcholine",5321,"acetylcholine",701316390,TRUE
"15163",1294,551,3454,1294,4748,"intrinsic neuron","4B in T3 RHS","None",NA,15163,"IN04B022_T3_R",NA,0.840601682662964,0.0383085012435913,0.116932667791843,0.00415715435519814,"LegNpT3_R","21959,23273,11060","user",0.840601682662964,"BR","",NA,"Roughly traced","BR",NA,"IN04B022","LegNpT3_R",NA,"IN04B022","VFB_jrcv0bp7","22037,23909,11060","early secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22948,23940,5967","Traced",551,"acetylcholine",2229,"acetylcholine",1029283358,TRUE
"15228",1482,571,3579,1482,5061,"intrinsic neuron","4B in T3 RHS","None",NA,15163,"IN04B022_T3_R",NA,0.868381023406982,0.0335067808628082,0.0932831466197968,0.00482906913384795,"LegNpT3_R","21985,23532,11060","user",0.868381023406982,"BR","",NA,"Roughly traced","BR",NA,"IN04B022","LegNpT3_R",NA,"IN04B022","VFB_jrcv0br0","22037,23909,11060","early secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22442,24828,6299","Traced",571,"acetylcholine",2229,"acetylcholine",1019047780,TRUE
"152540",1944,681,4375,1944,6319,"intrinsic neuron","4B? in T3 RHS","None",NA,19557,"IN04B080_T3_R",NA,0.873041450977325,0.0237219650298357,0.0978028625249863,0.00543373357504606,"LegNpT3_R","22067,23994,11060","user",0.873041450977325,"IR","",NA,"Roughly traced","IR",NA,"IN04B080","LegNpT3_R",NA,"IN04B080","VFB_jrcv39p8","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22512,23478,4126","Traced",681,"acetylcholine",2205,"acetylcholine",778792752,TRUE
"153759",1673,294,1799,1673,3472,"intrinsic neuron","4B in T3 RHS","None",NA,17101,"IN04B062_T3_R",NA,0.885174810886383,0.0145885339006782,0.0971952080726624,0.003041468327865,"LegNpT3_R","22029,23187,11060","user",0.885174810886383,"IR","",NA,"Roughly traced","IR",NA,"IN04B062","LegNpT3_R",NA,"IN04B062","VFB_jrcv3an3","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22643,22519,4344","Traced",294,"acetylcholine",1943,"acetylcholine",722631693,TRUE
"15525",2505,352,2040,2505,4545,"intrinsic neuron","4B in T3 RHS","None",NA,15525,"IN04B031_T3_R",NA,0.826061487197876,0.030047532171011,0.141231685876846,0.00265930476598442,"LegNpT3_R","22005,23230,11060","user",0.826061487197876,"IR","",NA,"Roughly traced","IR",NA,"IN04B031","LegNpT3_R",NA,"IN04B031","VFB_jrcv0bz9","22037,23909,11060","secondary","04B",15525,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23017,24354,7265","Traced",352,"acetylcholine",3768,"acetylcholine",997046315,TRUE
"15602",2864,310,1587,2864,4451,"intrinsic neuron","4B in T3 RHS","None",NA,15602,"IN04B031_T3_R",NA,0.780757486820221,0.0486053600907326,0.165858566761017,0.0047785839997232,"LegNpT3_R","21988,23276,11060","user",0.780757486820221,"IR","",NA,"Roughly traced","IR",NA,"IN04B031","LegNpT3_R",NA,"IN04B031","VFB_jrcv0c1e","22037,23909,11060","early secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22596,22547,4974","Traced",310,"acetylcholine",3768,"acetylcholine",967025746,TRUE
